product,quantity,rating,number of ratings,price,brand
Herb Essential Jamun (Syzygium Cumini) Powder,bottle of 1 kg Powder,0.0,0,650.0,Herb
Dr Willmar Schwabe India Ceanothus Americanus Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,112.0,DrWillmar
Bjain Arsenicum Bromatum Dilution 200 CH,bottle of 100 ml Dilution,3.8,5,177.0,Bjain
St. George’s Diabeto-Nil Tablet,bottle of 30 gm Tablet,0.0,0,135.0,St.
Swakalyan Madhumeh Niyantrak Capsule for Diabetes,bottle of 60 capsules,0.0,0,584.0,Swakalyan
Bjain Ammonium Aceticum Dilution 12 CH,bottle of 10 ml Dilution,0.0,0,45.0,Bjain
Dr. Reckeweg Uranium Nitricum Dilution 1000 CH,bottle of 11 ml Dilution,0.0,0,180.0,Dr.Reckeweg
Bjain Iodium Dilution 6X,bottle of 30 ml Dilution,0.0,0,115.0,Bjain
Dr Willmar Schwabe India Acidum Lacticum Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,103.0,DrWillmar
Pragna Stevia Powder,packet of 90 gm Powder,2.4,9,97.0,Pragna
Jain Amla (Indian Gooseberry) Powder,box of 500 gm Powder,4.1,14,368.0,Jain
Zemaica Healthcare Sugar Control Plus Capsules Diabetes Care,bottle of 30 capsules,0.0,0,844.0,Zemaica
Dr. Reckeweg Insulin Dilution 6 CH,bottle of 11 ml Dilution,0.0,0,125.0,Dr.Reckeweg
Dr Willmar Schwabe India Uranium Nitricum Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,99.0,DrWillmar
Dr Willmar Schwabe India Uranium Nitricum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,86.0,DrWillmar
Swadeshi Diabetes Care Pack,box of 1 Kit,0.0,0,569.0,Swadeshi
SBL Acidum Lacticum Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,97.0,SBL
Bjain Iodium Dilution 10M CH,bottle of 10 ml Dilution,0.0,0,143.0,Bjain
Bjain Ferrum Iodatum Dilution 200 CH,bottle of 10 ml Dilution,0.0,0,44.0,Bjain
SBL Syzygium Jambolanum Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,90.0,SBL
Basic Ayurveda Diabe Gold Capsule,bottle of 40 capsules,0.0,0,400.0,Basic
Bjain Ferrum Iodatum Dilution 12 CH,bottle of 10 ml Dilution,0.0,0,41.0,Bjain
Bjain Ferrum Iodatum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,87.0,Bjain
Bjain Iodium Dilution 3X,bottle of 30 ml Dilution,0.0,0,115.0,Bjain
Wheezal Sachrol Tablet,bottle of 25 gm Tablet,0.0,0,161.0,Wheezal
Healwell Diboheal Drop,bottle of 30 ml Drop,0.0,0,143.0,Healwell
SBL Gymnema Sylvestre Dilution 3 CH,bottle of 30 ml Dilution,0.0,0,90.0,SBL
Herbal Hills Vijaysar Powder,packet of 1 kg Powder,4.2,5,350.0,Herbal
Bjain Cephalandra Indica Dilution 3X,bottle of 100 ml Dilution,0.0,0,207.0,Bjain
Bjain Ammonium Aceticum Dilution 30 CH,bottle of 10 ml Dilution,0.0,0,45.0,Bjain
Doliosis D30 Diabeties Drop,bottle of 30 ml Drop,0.0,0,167.0,Doliosis
Herbal Hills Haritaki Powder,packet of 1 kg Powder,3.3,9,317.0,Herbal
Bjain Syzygium Jambolanum Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,102.0,Bjain
Bjain Syzygium Jambolanum Dilution 6X,bottle of 100 ml Dilution,0.0,0,205.0,Bjain
Zindagi Combo Pack of Stevia Dry Leaves (35gm) and Stevia Powder (50gm),combo pack of 2 Packs,0.0,0,236.0,Zindagi
Bjain Ceanothus Americanus Dilution 200 CH,bottle of 100 ml Dilution,0.0,0,175.0,Bjain
Bjain Acidum Sulphuricum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,87.0,Bjain
Dr Willmar Schwabe India Gymnema Sylvestre Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,86.0,DrWillmar
Deve Herbes Pure Fenugreek (Methi) Carrier Oil,bottle of 30 ml Oil,4.0,6,549.0,Deve
Bjain Allium Sativum Dilution 30 CH,bottle of 100 ml Dilution,0.0,0,167.0,Bjain
ADEL Acid Carbolic Dilution 30 CH,bottle of 10 ml Dilution,0.0,0,119.0,ADEL
Bjain Abroma Augusta Dilution 6X,bottle of 30 ml Dilution,0.0,0,115.0,Bjain
Dr. Reckeweg Insulin Dilution CM CH,bottle of 11 ml Dilution,0.0,0,248.0,Dr.Reckeweg
Dr Willmar Schwabe India Ceanothus Americanus Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,88.0,DrWillmar
Bjain Iodium Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,114.0,Bjain
Dr Willmar Schwabe India Uranium Nitricum Dilution 10M CH,bottle of 10 ml Dilution,0.0,0,185.0,DrWillmar
Bjain Phylanthus Nirurs Dilution 30 CH,bottle of 10 ml Dilution,0.0,0,45.0,Bjain
Bjain Syzygium Jambolanum Dilution 6 CH,bottle of 100 ml Dilution,0.0,0,167.0,Bjain
Haslab Bico 7 Biochemic Compound Tablet,bottle of 20 gm Tablet,0.0,0,70.0,Haslab
Bjain Syzygium Jambolanum Dilution 12 CH,bottle of 100 ml Dilution,0.0,0,167.0,Bjain
SBL Acidum Carbolicum Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,117.0,SBL
Pragna Bilva Fruit Powder,packet of 1 kg Powder,3.2,14,495.0,Pragna
Dr Willmar Schwabe India Gymnema Sylvestre Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,85.0,DrWillmar
Bjain Kalium Aceticum Dilution 6 CH,bottle of 10 ml Dilution,0.0,0,45.0,Bjain
Bjain Abroma Augusta Dilution 30 CH,bottle of 100 ml Dilution,0.0,0,167.0,Bjain
Dr. Reckeweg Acid Aceticum Dilution 200 CH,bottle of 11 ml Dilution,0.0,0,145.0,Dr.Reckeweg
Bjain Iodium Dilution 30 CH,bottle of 10 ml Dilution,0.0,0,42.75,Bjain
SBL Urea Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,128.0,SBL
SBL Uranium Nitricum 0/28 LM,bottle of 20 gm Globules,0.0,0,157.0,SBL
SBL Syzygium Jambolanum Dilution 12 CH,bottle of 30 ml Dilution,0.0,0,90.0,SBL
Dr Willmar Schwabe India Uranium Nitricum Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,86.0,DrWillmar
SBL Acidum Aceticum Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,97.0,SBL
Bjain Cephalandra Indica Dilution 30 CH,bottle of 10 ml Dilution,0.0,0,45.0,Bjain
SBL Cephalandra Indica Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,90.0,SBL
Dr. Reckeweg Insulin Dilution 1000 CH,bottle of 11 ml Dilution,0.0,0,175.0,Dr.Reckeweg
Ayusya Ganoderma Extract Capsule,bottle of 60 gm Capsule,0.0,0,1068.0,Ayusya
Bjain Iodium Dilution 200 CH,bottle of 10 ml Dilution,0.0,0,47.5,Bjain
Bjain Uranium Nitricum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,87.0,Bjain
Dr. Reckeweg Acid Aceticum Dilution 1000 CH,bottle of 11 ml Dilution,0.0,0,180.0,Dr.Reckeweg
Multani Sugralo DM Tablet,bottle of 60 tablets,0.0,0,300.0,Multani
Dr Willmar Schwabe India Ceanothus Americanus Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,100.0,DrWillmar
Bjain Allium Sativum Dilution 6X,bottle of 30 ml Dilution,0.0,0,115.0,Bjain
Naturmed's Guduchi Powder,jar of 200 gm Powder,0.0,0,145.5,Naturmed's
Naturz Ayurveda Jambu 425mg Capsule,bottle of 120 capsules,0.0,0,359.0,Naturz
Bjain Cephalandra Indica Dilution 6X,bottle of 100 ml Dilution,0.0,0,205.0,Bjain
Bjain Kalium Aceticum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,87.0,Bjain
Bjain Ammonium Aceticum Dilution 6 CH,bottle of 10 ml Dilution,0.0,0,45.0,Bjain
Indian Remedies Purified Shilajit Capsule,bottle of 100 capsules,3.3,6,537.0,Indian
Bjain Syzygium Jambolanum Dilution 3X,bottle of 30 ml Dilution,0.0,0,115.0,Bjain
Jeevan Ras Dhania Panchang Juice,bottle of 500 ml Juice,0.0,0,145.0,Jeevan
Bjain Iodium Dilution 6 CH,bottle of 10 ml Dilution,0.0,0,45.0,Bjain
Jeevan Ras Karela Juice,bottle of 500 ml Juice,0.0,0,186.0,Jeevan
Bjain Acidum Aceticum Dilution 200 CH,bottle of 100 ml Dilution,0.0,0,177.0,Bjain
Bjain Ceanothus Americanus Globules 30 CH,bottle of 6 gm Globules,0.0,0,85.0,Bjain
Bjain Cephalandra Indica Dilution 200 CH,bottle of 100 ml Dilution,0.0,0,173.0,Bjain
Bjain Acidum Aceticum Dilution 30 CH,bottle of 100 ml Dilution,0.0,0,167.0,Bjain
Bjain Cephalandra Indica Dilution 1000 CH,bottle of 10 ml Dilution,0.0,0,63.0,Bjain
Alma Combo Pack of Sugarfree 650 Tablet and Stevia 175 Tablet Low Calorie Sweetener,combo pack of 2 bottles,0.0,0,789.0,Alma
Dr Willmar Schwabe India Acidum Lacticum Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,86.0,DrWillmar
Bjain Iodium Dilution 12 CH,bottle of 10 ml Dilution,0.0,0,45.0,Bjain
ADEL Urea Pura Dilution 200 CH,bottle of 10 ml Dilution,0.0,0,150.0,ADEL
Ayurvedic Life Gurmar Powder,packet of 1 kg Powder,0.0,0,587.0,Ayurvedic
Dr Willmar Schwabe India Uranium Nitricum Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,113.0,DrWillmar
SBL Ceanothus Americanus Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,90.0,SBL
Planet Ayurveda Fenugreek Capsule,bottle of 60 capsules,0.0,0,1215.0,Planet
Dr Willmar Schwabe India Gymnema Sylvestre Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,113.0,DrWillmar
Bjain Syzygium Jambolanum Globules 6 CH,bottle of 6 gm Globules,0.0,0,76.0,Bjain
Bjain Acidum Lacticum Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,114.0,Bjain
Naturz Ayurveda Vijaysar Powder,packet of 1 kg Powder,0.0,0,537.0,Naturz
ADEL Urea Pura Dilution 1000 CH,bottle of 10 ml Dilution,0.0,0,195.0,ADEL
Bjain Arsenicum Bromatum Dilution 12 CH,bottle of 100 ml Dilution,3.8,5,167.0,Bjain
Sugarlif Sachet,packet of 1 Sachet,0.0,0,99.0,Sugarlif
Bjain Cephalandra Indica Globules 6X,bottle of 6 gm Globules,0.0,0,85.0,Bjain
Bjain Arsenicum Bromatum Globules 6 CH,bottle of 6 gm Globules,0.0,0,80.75,Bjain
Aadar Jeevani Powder (100gm Each) Bottle,box of 1 Bottle,0.0,0,130.0,Aadar
SBL Ceanothus Americanus Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,129.0,SBL
Bjain Phylanthus Nirurs Dilution 12 CH,bottle of 10 ml Dilution,0.0,0,40.0,Bjain
Ayurvedic Life Jambu Beej Powder,packet of 1 kg Powder,0.0,0,710.0,Ayurvedic
SBL Vincetoxicum Officinalis Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,100.0,SBL
Bjain Allium Sativum Dilution 3X,bottle of 30 ml Dilution,0.0,0,115.0,Bjain
Dr. Reckeweg Acid Carbolic Dilution 10M CH,bottle of 11 ml Dilution,0.0,0,200.0,Dr.Reckeweg
Naturmed's Moringa Leaf Powder,jar of 200 gm Powder,3.6,5,211.0,Naturmed's
Zindagi Krishna Tulsi,bottle of 30 ml Liquid,4.7,6,181.0,Zindagi
Bjain Vaccinum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,87.0,Bjain
Jain Methi (Trigonella Foenum-Gaecum) Powder,box of 1 kg Powder,0.0,0,538.0,Jain
SBL Vincetoxicum Officinalis Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,90.0,SBL
Dr Willmar Schwabe India Acidum Carbolicum Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,108.0,DrWillmar
Bjain Triticum Repens Dilution 6X,bottle of 30 ml Dilution,0.0,0,105.0,Bjain
Bjain Uranium Nitricum Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,87.0,Bjain
Bjain Phylanthus Nirurs Dilution 1000 CH,bottle of 10 ml Dilution,0.0,0,54.0,Bjain
Bjain Alumen Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,87.0,Bjain
Bjain Arsenicum Bromatum Globules 30 CH,bottle of 6 gm Globules,0.0,0,85.0,Bjain
SBL Uranium Muriaticum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,90.0,SBL
Bjain Ammonium Aceticum Mother Tincture Q,bottle of 100 ml Mother Tincture,0.0,0,172.0,Bjain
Bjain Allium Sativum Dilution 200 CH,bottle of 100 ml Dilution,0.0,0,175.0,Bjain
Bjain Acidum Sulphuricum Dilution 3X,bottle of 100 ml Dilution,0.0,0,205.0,Bjain
Bjain Ceanothus Americanus Dilution 6X,bottle of 100 ml Dilution,0.0,0,205.0,Bjain
Bjain Ceanothus Americanus Dilution 30 CH,bottle of 100 ml Dilution,0.0,0,167.0,Bjain
Dr. Reckeweg Acid Carbolic Dilution 200 CH,bottle of 11 ml Dilution,0.0,0,145.0,Dr.Reckeweg
Jeevan Ras Sugarcane Root Juice,bottle of 500 ml Juice,0.0,0,180.0,Jeevan
Bjain Acidum Sulphuricum Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,102.0,Bjain
Naturz Ayurveda Gurmar Powder,packet of 1 kg Powder,0.0,0,589.0,Naturz
Bjain Ceanothus Americanus Dilution 3X,bottle of 100 ml Dilution,0.0,0,205.0,Bjain
Bjain Abroma Augusta Dilution 200 CH,bottle of 100 ml Dilution,0.0,0,175.0,Bjain
